"Title","Make/Model","Location","Date Posted","Description","Price","Kilometres","Drivetrain","Listing URL","Notes"
"2014 Mazda CX-5","Mazda CX-5","Calgary, AB","Aug 17, 2026","2014 Mazda CX-5 AWD
Reliable and fuel-efficient 4-cylinder SUV, runs on regular gas and known to last forever with proper maintenance. Very dependable daily driver with AWD for Alberta weather.
Features:
• All-Wheel Drive
• 4-Cylinder Engine
• Automatic Transmission
• Sunroof
• Backup Camera
• Heated Seats
• Clean interior
• Drives smooth","CA$12,500","165,000 km","AWD","https://www.facebook.com/marketplace/item/3303405969831573/",""
"2014 Mazda CX-5","Mazda CX-5","Calgary, AB","Aug 13, 2026","Private sale
Looking for a dependable, fuel-efficient, and great-handling SUV? This 2014 Mazda CX-5 is ready for its next adventure. Known for its sporty driving dynamics, excellent safety ratings, and impressive reliability, this crossover makes for a fantastic commuter, family vehicle, or all-weather daily driver.

Year / Make / Model: 2014 Mazda CX-5 GS
Kilometers: 248,540 km (Highway driven)
Transmission: Automatic
Drivetrain: All-Wheel Drive (AWD)
Color: Meteor Gray Mica
Key Features & Highlights
Winter-Ready: Equipped with newer winter tires installed to handle snow, ice, and cold conditions with total confidence.
Push-button start
Heated front seats
Air conditioning
Cruise control
Steering wheel-mounted audio controls
Bluetooth connectivity
Serious inquiries only. Message today to schedule a viewing or test drive!","CA$9,200","248,540 km","AWD","https://www.facebook.com/marketplace/item/1370780077759290/","Private sale"
"2014 Mazda CX-5","Mazda CX-5","Calgary, AB","Aug 13, 2026","Price: $11700 . plus Fee and GST
FINANCING and WARRANTY available!!!
Mazda CX-5 , 2014 , 197100 km , active status , FWD , power windows , cruise control , alloy rims push button start, Bluetooth , active status , A/C , good condition!
We are licensed dealership and have a car fax and inspection available.
Auto Pocket
North East location address:
40 Hopewell Way NE Suite #10 Calgary
Viewing by appointment only.
Contact phone number : 587~330~7773
Amvic license number: B2036578
Stock number: 1591","CA$11,700","197,100 km","FWD","https://www.facebook.com/marketplace/item/1458258742810748/","FWD - CX-5 was not AWD-restricted so kept. Duplicate posting of the same car (item 2628935504228586, Auto Pocket stock #1591) was skipped"
"2014 Mazda CX-5","Mazda CX-5","Calgary, AB","Aug 17, 2026","2014 Mazda CX-5 GT AWD (SUV/Crossover) with 308,000kms. Grey metallic paint, sunroof, leather seats, Bluetooth, alloy wheels with Michelin Cross Climate 2 tires, forward collision warning. Very reliable car. All-wheel drive to handle any Alberta weather. Great first car, or reliable cost-effective daily driver.","CA$7,750","308,000 km","AWD","https://www.facebook.com/marketplace/item/1775021200509943/","Very high km (308k)"
"2014 Mazda CX-5 AWD 4dr Auto GT","Mazda CX-5","Calgary, AB","Aug 18, 2026","2014 Mazda CX-5 GT AWD – $10,995 + GST
207,625 km
GT AWD
Active status
Leather interior
Heated seats
Sunroof
Backup camera
Bluetooth
Alloy wheels
Keyless entry
Push-button start
Spacious and fuel-efficient SUV
Runs and drives well.
Trade-ins welcome.
AMVIC Licensed Dealer JM3KE4DY7E0325857","CA$10,995","207,625 km","AWD","https://www.facebook.com/marketplace/item/27483211174690572/","AMVIC dealer"
"2015 Mazda CX-5","Mazda CX-5","Calgary, AB","Aug 19, 2026","2015 MAZDA CX5 GT SKYACTIVE AWD WITH 2.5 LITER 4CLY ENGINE COMES FULLY EQUIPPED WITH POWER WINDOWS POWER LOCKS CRUISE CONTROL AC POWER MIRRORS KEYLESS ENTRY BLUETOOTH BACKUP CAMERA HEATED SEATS SUNROOF NAVIGATION COMES BLACK LEATHER INTER NO ACCENDENTS NO HAIL ACTIVE STATUS ONE OWNER MAZDA DEALER SERVICED FROM DAY 1 COME CHECK US OUT AT MERIDIAN MOTORS LTD AT 416 40TH AVE NORTH EAST CALGARY FINANCING IS AVAILABLE WARRENTY IS AVAILABLE STOCK NUMBER S30516.","CA$11,990","207,000 km","AWD","https://www.facebook.com/marketplace/item/2087479238530969/","Dealer listing (Meridian Motors)"
"2016 Mazda CX-5","Mazda CX-5","Calgary, AB","Aug 19, 2026","For sale 2016 Mazda CX-5 Touring with 298,000kms mostly highway driven. All regular maintenance done on time. Engine and transmission is in immaculate condition.
Has remote starter and all the other options like heated seats, blind spot monitoring, navigation, power seat, sunroof and etc.
ACTIVE STATUS
windshield is cracked
No lowballers
Message me for any more info.","CA$7,850","298,000 km","Not stated","https://www.facebook.com/marketplace/item/1591240052791137/","High km (298k); cracked windshield"
"2016 Mazda CX-5 GS","Mazda CX-5","Calgary, AB","Aug 14, 2026","2016 mazda CX-5 GS 265xxxkm in great shape light hail. AWD vehicle","CA$7,500","~265,000 km","AWD","https://www.facebook.com/marketplace/item/1537406394276520/","Light hail; price reduced from $8,500"
"2016 Mazda CX-5","Mazda CX-5","Red Deer, AB","Aug 18, 2026","Selling our 2016 Mazda CX-5 Grand Touring
4cycline
2.5 engine.
Automatic all-wheel drive, Bluetooth, line departure waring, navigation, sunroof, power windows, new rear rotors and brake pad.
Vehicle has Alberta rebuilt status with Strick Government inspection for safety.
Well maintain
Car fax available
Serious inquires only
* if you see the AD is still available.","CA$11,500","214,000 km","AWD","https://www.facebook.com/marketplace/item/1055246630649853/","Rebuilt status; ~145 km from Calgary"
"2014 Mazda CX-5","Mazda CX-5","Edmonton, AB","Aug 19, 2026","South Edmonton Auto Centre
7435 77 Ave NW, Edmonton, AB T6B 0B7 | [hidden information]
Selling our 2014 Mazda CX-5 GT AWD
AWD | GT | LOW KMS | ACTIVE STATUS
CARFAX AVAILABLE | MECHANICAL INSPECTION AVAILABLE | CLEAN STATUS
4-Cylinder | Automatic | AWD | 174,490 KMS | Leather | Heated Seats | Power Seats | Moonroof | Bose Audio | Navigation | Backup Camera | Bluetooth | Push-Button Start | Dual-Zone Climate | Cruise Control | Alloy Wheels
A stylish, fuel-efficient, and well-equipped SUV offering excellent comfort, practicality, and confident all-weather performance.
Price is as advertised + GST! Absolutely NO hidden fees or charges.
Located in South Edmonton. Message us today to book a viewing or test drive.
South Edmonton Auto Centre
AMVIC LICENSED DEALER
7435 77 Ave NW, Edmonton, AB T6B 0B7","CA$12,500","174,000 km","AWD","https://www.facebook.com/marketplace/item/940545172422650/","Edmonton (~300 km from Calgary)"
"2007 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 16, 2026","2007 Toyota RAV4 Sport v6
Mileage is 147000km
Price is only $11,950+GST
It's Rebuilt title
Contact number is [hidden information]","CA$11,950","147,000 km","Not stated","https://www.facebook.com/marketplace/item/1742124907060492/","Rebuilt title"
"2008 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 13, 2026","For sale 2008 Toyota Rav 4 (v4 engine 2.4L) with 226,000 km
Clean and reliable with 4WD automatic, power windows, power locks, and cruise control. Runs and drives great with no issues. Very fuel efficient, reliable and inexpensive to maintain.
Features & Highlights:
- Active Status
-Automatic transmission
- V4 engine 2.4L
- 4WD / all wheel drive
- All season tire
- One-owner non-smoker vehicle
- No Crack on Windsheild
- 2 Sets of Keys
- Low mileage
- AC/heating works great
- weekend use only not a daily driver
- recently car detailed professionally
- free car seat covers included
Well cared for and regularly serviced with Fully Synthetic Mobile 1 Oil Change. Everything works as it should. Great commuter car, student vehicle, or daily driver. I am asking $10,990, it is negotiable but no low ball offer please.
Selling this Vehicle as-is, where-is
Message to inquire and we can talk if you are a serious buyer.","CA$10,900","226,000 km","4WD","https://www.facebook.com/marketplace/item/948318931617213/","One owner, non-smoker"
"2008 Toyota RAV4 (Limited)","Toyota RAV4","Calgary, AB","Aug 14, 2026","🚙 2008 Toyota RAV4 Limited
✅ only 198,116 km ✅ V6
Almost brand new new tyres
No rust
Brand new sway bar links
No check engine light
Cold AC
Warm heater
No issues
📞 Call **825**747**7137** to arrange viewing","CA$9,800","198,116 km","Not stated","https://www.facebook.com/marketplace/item/1051295234153499/",""
"2008 Toyota RAV4 A/T 4wd","Toyota RAV4","Calgary, AB","Aug 19, 2026","🚗 2008 Toyota RAV4 4WD – $10,900 OBO

Reliable • Practical • Fuel-Efficient • Spacious

Selling my 2008 Toyota RAV4 4WD with 226,XXX km. Great SUV for daily commuting, errands, winter driving, and road trips. Lots of interior and cargo space.

⭐ Highlights

2008 Toyota RAV4
Active Status Clean Title
4WD Automatic Transmission
2.4L 4-cylinder engine
226,XXX km
All-season tires
2 sets of keys
No cracks on windshield
Regular oil changes and maintenance done by professional mechanic shops
Reliable and has served me very well
Spacious interior and cargo area

💰 Asking: $10,900 OBO
Open to reasonable offers — please no lowballs.

🔧 Inspection welcome!
You're welcome to take it to your own mechanic or have it professionally inspected before purchasing.

🚘 Test drives welcome with proof of valid driver's licence.

Selling because I need to upgrade.

📩 Serious inquiries only. Message me if you're genuinely interested or would like to arrange a viewing/test drive.","CA$10,900","~226,000 km","4WD","https://www.facebook.com/marketplace/item/1474419281380201/","Clean title; inspection welcome"
"2008 Toyota RAV4 Limited V6 4WD","Toyota RAV4","Calgary, AB","Aug 20, 2026","If the ad is up, the car is still available.

Reliable 4WD SUV with a V6 engine and Limited trim package.

176000+km

Power seat, power window, automatic transmission, sunroof.

VIN JTMBK31V[hidden information]

This green silver 2008 Toyota RAV4 has a roof rack, alloy wheels, and a rear-mounted spare tire with a color-matched cover. The exterior is equipped with a front hood deflector and tinted rear windows.
Recently spent $1100 on maintenance including all four wheel brake rotors and pads.can provide receipts.
The windshield is cracked and there is some rust as well ( can be seen in pictures)

Price is firm","CA$8,400","176,000+ km","4WD","https://www.facebook.com/marketplace/item/1101320992554538/","Cracked windshield, some rust"
